"Temperature","Pressure","Damaged"
66,50,0
66,50,0
66,50,0
66,50,0
66,50,0
66,50,0
70,50,1
70,50,0
70,50,0
70,50,0
70,50,0
70,50,0
69,50,0
69,50,0
69,50,0
69,50,0
69,50,0
69,50,0
68,50,0
68,50,0
68,50,0
68,50,0
68,50,0
68,50,0
67,50,0
67,50,0
67,50,0
67,50,0
67,50,0
67,50,0
72,50,0
72,50,0
72,50,0
72,50,0
72,50,0
72,50,0
73,100,0
73,100,0
73,100,0
73,100,0
73,100,0
73,100,0
70,100,0
70,100,0
70,100,0
70,100,0
70,100,0
70,100,0
57,200,1
57,200,0
57,200,0
57,200,0
57,200,0
57,200,0
63,200,1
63,200,0
63,200,0
63,200,0
63,200,0
63,200,0
70,200,1
70,200,0
70,200,0
70,200,0
70,200,0
70,200,0
78,200,0
78,200,0
78,200,0
78,200,0
78,200,0
78,200,0
67,200,0
67,200,0
67,200,0
67,200,0
67,200,0
67,200,0
53,200,1
53,200,1
53,200,0
53,200,0
53,200,0
53,200,0
67,200,0
67,200,0
67,200,0
67,200,0
67,200,0
67,200,0
75,200,0
75,200,0
75,200,0
75,200,0
75,200,0
75,200,0
70,200,0
70,200,0
70,200,0
70,200,0
70,200,0
70,200,0
81,200,0
81,200,0
81,200,0
81,200,0
81,200,0
81,200,0
76,200,0
76,200,0
76,200,0
76,200,0
76,200,0
76,200,0
79,200,0
79,200,0
79,200,0
79,200,0
79,200,0
79,200,0
75,200,1
75,200,1
75,200,0
75,200,0
75,200,0
75,200,0
76,200,0
76,200,0
76,200,0
76,200,0
76,200,0
76,200,0
58,200,1
58,200,0
58,200,0
58,200,0
58,200,0
58,200,0