"hobby","age","educational_level","marital_status","binaryClass"
2,1,1,2,P
2,1,3,2,N
3,1,4,1,N
2,4,2,2,N
1,1,3,4,N
1,1,3,2,N
3,1,3,2,N
3,4,2,4,N
2,2,1,1,P
3,2,1,1,P
1,2,1,1,P
2,2,3,4,N
1,1,2,1,P
2,1,2,2,N
2,4,1,4,N
1,1,3,3,P
3,2,1,2,N
1,2,1,1,P
3,3,2,1,P
3,1,3,2,P
1,2,2,1,N
3,2,1,3,P
2,1,2,1,P
3,2,1,3,P
2,3,2,1,P
3,2,2,1,N
3,2,1,3,N
2,1,2,2,N
1,1,3,2,P
3,2,1,1,P
1,4,1,1,N
2,2,1,3,P
1,2,1,3,N
1,1,1,2,P
2,4,3,1,N
3,1,2,2,N
1,1,2,2,N
3,2,2,1,N
1,2,1,2,N
3,4,3,2,N
2,2,2,1,N
2,2,1,2,N
3,2,1,3,N
3,2,1,1,P
3,1,2,1,P
1,2,1,3,N
2,1,1,2,P
1,1,1,2,P
1,2,2,3,N
3,3,1,1,P
3,3,3,1,P
3,2,1,2,N
3,2,1,2,N
3,1,2,1,P
1,1,1,2,P
2,1,3,2,P
2,2,2,1,N
2,1,2,1,P
2,2,1,3,P
2,1,2,2,N
1,2,4,2,N
2,2,1,2,N
1,1,2,4,N
1,3,2,1,P
2,4,4,2,N
2,3,2,1,P
3,1,2,2,N
1,1,2,2,N
1,3,2,4,N
1,1,2,2,N
3,1,4,2,N
2,1,3,2,N
1,1,3,2,N
3,1,3,2,P
1,2,4,4,N
1,4,2,1,N
2,1,2,1,P
3,4,1,2,N
2,2,1,1,P
1,1,2,1,P
2,2,4,3,N
3,1,2,2,N
1,1,3,2,P
1,2,1,3,P
1,4,4,1,N
3,3,3,2,N
2,2,1,3,N
3,3,2,1,N
1,1,1,3,P
2,2,1,2,N
2,2,2,1,N
2,3,2,3,N
1,3,2,1,N
2,2,1,2,N
1,1,1,2,P
3,2,2,1,N
3,2,1,1,P
1,1,2,1,P
3,1,4,4,N
3,3,2,1,N
2,3,2,1,N
2,1,3,1,P
1,2,1,2,N
3,1,1,2,P
2,2,4,1,N
1,2,2,1,N
2,3,2,1,N
2,2,1,4,N
1,4,2,3,N
2,2,1,1,P
1,2,1,1,P
2,2,3,2,N
1,3,2,1,P
3,1,2,1,P
3,1,1,2,P
3,3,1,4,N
2,3,4,1,N
1,2,3,3,N
3,3,2,2,N
3,3,4,2,N
1,2,2,1,N
2,1,1,4,N
3,1,2,2,N
3,2,2,4,N
2,3,1,3,P
2,1,1,2,P
3,4,1,3,N
1,1,4,3,N
2,1,2,1,P
1,2,1,2,N
1,2,2,1,N
3,1,1,2,P